year,month,day,team,defensive_sack_percentage
2020,12,27,Baltimore,14.71%
2020,12,27,Dallas,4.44%
2020,12,27,San Francisco,5.66%
2020,12,27,Atlanta,6.25%
2020,12,27,LA Chargers,2.94%
2020,12,27,Kansas City,2.86%
2020,12,27,New England,7.14%
2020,12,27,Carolina,14.71%
2020,12,27,NY Jets,8.11%
2020,12,27,Minnesota,0.00%
2020,12,27,Detroit,4.55%
2020,12,27,Jacksonville,3.70%
2020,12,27,Las Vegas,7.89%
2020,12,27,Cincinnati,2.56%
2020,12,27,Tennessee,0.00%
2020,12,20,Philadelphia,11.63%
2020,12,20,Pittsburgh,2.27%
2020,12,20,LA Rams,20.69%
2020,12,20,Washington,8.16%
2020,12,20,New Orleans,0.00%
2020,12,20,Green Bay,7.89%
2020,12,20,Tampa Bay,13.95%
2020,12,20,Arizona,25.00%
2020,12,20,Miami,8.11%
2020,12,20,Denver,2.44%
2020,12,20,Cleveland,16.00%
2020,12,20,NY Giants,2.78%
2020,12,20,Houston,8.33%
2020,12,20,Buffalo,8.57%
2020,12,20,Seattle,10.34%
2020,12,20,Chicago,18.92%
2020,12,20,Indianapolis,0.00%
2020,12,20,Dallas,5.00%
2020,12,20,Baltimore,0.00%
2020,12,20,San Francisco,5.88%
2020,12,20,Kansas City,7.55%
2020,12,20,LA Chargers,2.94%
2020,12,20,Atlanta,2.22%
2020,12,20,New England,3.85%
2020,12,20,Carolina,14.71%
2020,12,20,Minnesota,0.00%
2020,12,20,NY Jets,3.03%
2020,12,20,Detroit,0.00%
2020,12,20,Jacksonville,4.00%
2020,12,20,Cincinnati,8.00%
2020,12,20,Las Vegas,3.03%
2020,12,20,Tennessee,0.00%
2020,12,13,Pittsburgh,6.12%
2020,12,13,Philadelphia,5.56%
2020,12,13,LA Rams,20.69%
2020,12,13,Washington,0.00%
2020,12,13,New Orleans,7.14%
2020,12,13,Green Bay,20.59%
2020,12,13,Denver,2.44%
2020,12,13,Miami,18.18%
2020,12,13,Tampa Bay,3.85%
2020,12,13,NY Giants,10.42%
2020,12,13,Indianapolis,11.63%
2020,12,13,Buffalo,0.00%
2020,12,13,Houston,7.89%
2020,12,13,Cleveland,6.25%
2020,12,13,Arizona,2.08%
2020,12,13,Seattle,8.33%
2020,12,13,Baltimore,2.04%
2020,12,13,Dallas,0.00%
2020,12,13,Chicago,4.55%
2020,12,13,San Francisco,2.44%
2020,12,13,Atlanta,5.13%
2020,12,13,LA Chargers,4.35%
2020,12,13,Kansas City,0.00%
2020,12,13,New England,3.85%
2020,12,13,Minnesota,4.55%
2020,12,13,NY Jets,4.08%
2020,12,13,Detroit,5.56%
2020,12,13,Carolina,4.26%
2020,12,13,Jacksonville,8.51%
2020,12,13,Las Vegas,11.54%
2020,12,13,Cincinnati,0.00%
2020,12,13,Tennessee,0.00%
2020,12,6,Pittsburgh,14.29%
2020,12,6,Washington,10.26%
2020,12,6,Philadelphia,6.06%
2020,12,6,New Orleans,10.00%
2020,12,6,LA Rams,5.41%
2020,12,6,Denver,15.79%
2020,12,6,Buffalo,5.45%
2020,12,6,Tampa Bay,3.85%
2020,12,6,Arizona,14.29%
2020,12,6,NY Giants,6.45%
2020,12,6,Indianapolis,4.35%
2020,12,6,Baltimore,0.00%
2020,12,6,Houston,8.51%
2020,12,6,Cleveland,0.00%
2020,12,6,Green Bay,6.12%
2020,12,6,Miami,10.00%
2020,12,6,Seattle,11.54%
2020,12,6,Dallas,10.00%
2020,12,6,San Francisco,6.06%
2020,12,6,Chicago,0.00%
2020,12,6,Atlanta,11.36%
2020,12,6,LA Chargers,10.71%
2020,12,6,Kansas City,2.38%
2020,12,6,Minnesota,0.00%
2020,12,6,New England,5.56%
2020,12,6,NY Jets,9.30%
2020,12,6,Detroit,7.41%
2020,12,6,Carolina,4.26%
2020,12,6,Cincinnati,0.00%
2020,12,6,Tennessee,4.35%
2020,12,6,Jacksonville,6.45%
2020,12,6,Las Vegas,2.50%
2020,11,29,Pittsburgh,6.06%
2020,11,29,Washington,21.43%
2020,11,29,Philadelphia,9.09%
2020,11,29,Tampa Bay,7.69%
2020,11,29,Baltimore,13.04%
2020,11,29,LA Rams,9.09%
2020,11,29,Denver,13.79%
2020,11,29,Miami,6.38%
2020,11,29,Green Bay,7.14%
2020,11,29,NY Giants,6.52%
