Date,team,opponent,opponent_rank
2019-12-29,NY Jets,Buffalo,13
2019-12-29,Green Bay,Detroit,24
2019-12-29,Cincinnati,Cleveland,21
2019-12-29,Jacksonville,Indianapolis,19
2019-12-29,LA Rams,Arizona,25
2019-12-29,Philadelphia,NY Giants,29
2019-12-29,Dallas,Washington,31
2019-12-29,Denver,Las Vegas,27
2019-12-29,Baltimore,Pittsburgh,18
2019-12-29,Tennessee,Houston,11
2019-12-29,San Francisco,Seattle,12
2020-01-05,Houston,Buffalo,14
2020-01-05,Tennessee,New England,3
2020-01-05,Minnesota,New Orleans,5
2020-01-05,Seattle,Philadelphia,12
2020-01-12,San Francisco,Minnesota,6
2020-01-12,Tennessee,Baltimore,1
2020-01-12,Kansas City,Houston,12
2020-01-12,Green Bay,Seattle,11
2020-01-19,Kansas City,Tennessee,7
2020-01-19,San Francisco,Green Bay,10
2020-02-02,Kansas City,San Francisco,3
2018-09-09,Philadelphia,Atlanta,7
2018-09-09,Tampa Bay,New Orleans,3
2018-09-09,Baltimore,Buffalo,32
2018-09-09,Cincinnati,Indianapolis,29
2018-09-09,Pittsburgh,Cleveland,27
2018-09-09,Miami,Tennessee,21
2018-09-09,New England,Houston,14
2018-09-09,Jacksonville,NY Giants,25
2018-09-09,Minnesota,San Francisco,23
2018-09-09,Kansas City,LA Chargers,9
2018-09-09,Washington,Arizona,24
2018-09-09,Carolina,Dallas,12
2018-09-09,Denver,Seattle,17
2018-09-09,Green Bay,Chicago,26
2018-09-16,NY Jets,Detroit,31
2018-09-16,LA Rams,Las Vegas,27
2018-09-16,Cincinnati,Baltimore,8
2018-09-16,Tampa Bay,Philadelphia,5
2018-09-16,Minnesota,Green Bay,9
2018-09-16,Tennessee,Houston,16
2018-09-16,Kansas City,Pittsburgh,4
2018-09-16,Indianapolis,Washington,12
2018-09-16,Atlanta,Carolina,11
2018-09-16,LA Chargers,Buffalo,32
2018-09-16,New Orleans,Cleveland,26
2018-09-16,Miami,NY Jets,24
2018-09-16,LA Rams,Arizona,29
2018-09-16,San Francisco,Detroit,31
2018-09-16,Denver,Las Vegas,27
2018-09-16,Jacksonville,New England,2
2018-09-16,Dallas,NY Giants,25
2018-09-23,Chicago,Seattle,19
2018-09-23,Cleveland,NY Jets,29
2018-09-23,New Orleans,Atlanta,6
2018-09-23,Buffalo,Minnesota,3
2018-09-23,Miami,Las Vegas,26
2018-09-23,Baltimore,Denver,21
2018-09-23,Carolina,Cincinnati,13
2018-09-23,Washington,Green Bay,10
2018-09-23,NY Giants,Houston,16
2018-09-23,Tennessee,Jacksonville,8
2018-09-23,Kansas City,San Francisco,23
2018-09-23,Philadelphia,Indianapolis,28
2018-09-23,LA Rams,LA Chargers,14
2018-09-23,Chicago,Arizona,31
2018-09-23,Seattle,Dallas,15
2018-09-23,Detroit,New England,2
2018-09-30,Pittsburgh,Tampa Bay,16
2018-09-30,LA Rams,Minnesota,11
2018-09-30,Dallas,Detroit,29
2018-09-30,Tennessee,Philadelphia,7
2018-09-30,Jacksonville,NY Jets,27
2018-09-30,Houston,Indianapolis,26
2018-09-30,Cincinnati,Atlanta,8
2018-09-30,Green Bay,Buffalo,31
2018-09-30,Chicago,Tampa Bay,16
2018-09-30,New England,Miami,22
2018-09-30,Seattle,Arizona,32
2018-09-30,Las Vegas,Cleveland,25
2018-09-30,New Orleans,NY Giants,24
2018-09-30,LA Chargers,San Francisco,30
2018-09-30,Baltimore,Pittsburgh,2
2018-10-07,Kansas City,Denver,21
2018-10-07,New England,Indianapolis,27
2018-10-07,Carolina,NY Giants,26
2018-10-07,Pittsburgh,Atlanta,9
2018-10-07,Buffalo,Tennessee,19
2018-10-07,Cincinnati,Miami,28
2018-10-07,Cleveland,Baltimore,4
2018-10-07,NY Jets,Denver,21
2018-10-07,Detroit,Green Bay,14
2018-10-07,Kansas City,Jacksonville,6
2018-10-07,LA Chargers,Las Vegas,25
2018-10-07,LA Rams,Seattle,17
2018-10-07,Minnesota,Philadelphia,8
2018-10-07,Arizona,San Francisco,30
2018-10-07,Houston,Dallas,20
2018-10-14,New Orleans,Washington,17
2018-10-14,Philadelphia,NY Giants,29
2018-10-14,Miami,Chicago,10
2018-10-14,Washington,Carolina,12
2018-10-14,Minnesota,Arizona,31
2018-10-14,NY Jets,Indianapolis,26
2018-10-14,Atlanta,Tampa Bay,24
2018-10-14,Houston,Buffalo,32
2018-10-14,Seattle,Las Vegas,28
2018-10-14,Pittsburgh,Cincinnati,11
2018-10-14,LA Chargers,Cleveland,21
2018-10-14,LA Rams,Denver,25
2018-10-14,Dallas,Jacksonville,9
2018-10-14,Baltimore,Tennessee,20
2018-10-14,New England,Kansas City,4
2018-10-21,Green Bay,San Francisco,30
2018-10-21,Denver,Arizona,32
2018-10-21,LA Chargers,Tennessee,23
2018-10-21,Carolina,Philadelphia,7
2018-10-21,Detroit,Miami,26
2018-10-21,New England,Chicago,13
2018-10-21,Minnesota,NY Jets,22
2018-10-21,Indianapolis,Buffalo,31
2018-10-21,Houston,Jacksonville,17
2018-10-21,Tampa Bay,Cleveland,25
2018-10-21,New Orleans,Baltimore,3
2018-10-21,Washington,Dallas,11
2018-10-21,LA Rams,San Francisco,30
2018-10-21,Kansas City,Cincinnati,15
2018-10-28,Atlanta,NY Giants,27
2018-10-28,Houston,Miami,29
2018-10-28,Philadelphia,Jacksonville,20
2018-10-28,Chicago,NY Jets,25
2018-10-28,Carolina,Baltimore,5
2018-10-28,Seattle,Detroit,21
2018-10-28,Washington,NY Giants,27
2018-10-28,Kansas City,Denver,18
2018-10-28,Cincinnati,Tampa Bay,24
2018-10-28,Pittsburgh,Cleveland,26
2018-10-28,Indianapolis,Las Vegas,28
2018-10-28,LA Rams,Green Bay,16
2018-10-28,Arizona,San Francisco,30
2018-10-28,New Orleans,Minnesota,7
2018-11-04,New England,Buffalo,32
2018-11-04,San Francisco,Las Vegas,31
2018-11-04,Carolina,Tampa Bay,23
2018-11-04,Pittsburgh,Baltimore,6
2018-11-04,Minnesota,Detroit,22
2018-11-04,Atlanta,Washington,17
2018-11-04,Chicago,Buffalo,32
2018-11-04,Kansas City,Cleveland,25
2018-11-04,Miami,NY Jets,26
2018-11-04,LA Chargers,Seattle,10
2018-11-04,Houston,Denver,18
2018-11-04,New Orleans,LA Rams,1
2018-11-04,New England,Green Bay,15
2018-11-11,Tennessee,Dallas,16
2018-11-11,Pittsburgh,Carolina,13
2018-11-11,Cleveland,Atlanta,11
2018-11-11,Washington,Tampa Bay,23
2018-11-11,New Orleans,Cincinnati,18
2018-11-11,Indianapolis,Jacksonville,19
2018-11-11,Kansas City,Arizona,30
2018-11-11,Chicago,Detroit,24
2018-11-11,Tennessee,New England,5
2018-11-11,Buffalo,NY Jets,26
2018-11-11,LA Chargers,Las Vegas,31
2018-11-11,Green Bay,Miami,28
2018-11-11,LA Rams,Seattle,12
2018-11-11,Dallas,Philadelphia,7
2018-11-18,NY Giants,San Francisco,27
2018-11-18,Seattle,Green Bay,15
2018-11-18,Detroit,Carolina,13
2018-11-18,Houston,Washington,18
2018-11-18,Dallas,Atlanta,12
2018-11-18,NY Giants,Tampa Bay,24
2018-11-18,Baltimore,Cincinnati,22
2018-11-18,Pittsburgh,Jacksonville,20
2018-11-18,Indianapolis,Tennessee,17
2018-11-18,Las Vegas,Arizona,30
2018-11-18,Denver,LA Chargers,7
2018-11-18,New Orleans,Philadelphia,10
2018-11-18,Chicago,Minnesota,8
2018-11-25,LA Rams,Kansas City,3
2018-11-25,Chicago,Detroit,23
2018-11-25,Dallas,Washington,19
2018-11-25,New Orleans,Atlanta,15
2018-11-25,Philadelphia,NY Giants,26
2018-11-25,Buffalo,Jacksonville,21
2018-11-25,Baltimore,Las Vegas,31
2018-11-25,Cleveland,Cincinnati,22
2018-11-25,New England,NY Jets,29
2018-11-25,Seattle,Carolina,13
2018-11-25,Tampa Bay,San Francisco,27
2018-11-25,LA Chargers,Arizona,30
2018-11-25,Denver,Pittsburgh,4
2018-11-25,Indianapolis,Miami,28
2018-11-25,Minnesota,Green Bay,14
2018-12-02,Houston,Tennessee,20
2018-12-02,Dallas,New Orleans,1
2018-12-02,Arizona,Green Bay,14
2018-12-02,Tampa Bay,Carolina,15
2018-12-02,NY Giants,Chicago,8
2018-12-02,Baltimore,Atlanta,13
2018-12-02,Miami,Buffalo,31
2018-12-02,LA Rams,Detroit,24
2018-12-02,Denver,Cincinnati,25
2018-12-02,Houston,Cleveland,22
2018-12-02,Jacksonville,Indianapolis,18
2018-12-02,Kansas City,Las Vegas,30
2018-12-02,Tennessee,NY Jets,29
2018-12-02,New England,Minnesota,9
2018-12-02,Seattle,San Francisco,28
2018-12-02,LA Chargers,Pittsburgh,4
2018-12-09,Philadelphia,Washington,20
2018-12-09,Tennessee,Jacksonville,21
2018-12-09,New Orleans,Tampa Bay,22
2018-12-09,Green Bay,Atlanta,16
2018-12-09,NY Jets,Buffalo,31
2018-12-09,Indianapolis,Houston,10
2018-12-09,NY Giants,Washington,20
2018-12-09,Cleveland,Carolina,15
2018-12-09,Kansas City,Baltimore,7
2018-12-09,Miami,New England,4
2018-12-09,LA Chargers,Cincinnati,26
2018-12-09,San Francisco,Denver,13
2018-12-09,Dallas,Philadelphia,14
2018-12-09,Las Vegas,Pittsburgh,5
2018-12-09,Detroit,Arizona,32
2018-12-09,Chicago,LA Rams,2
2018-12-16,Seattle,Minnesota,11
2018-12-16,LA Chargers,Kansas City,3
2018-12-16,Houston,NY Jets,28
2018-12-16,Cleveland,Denver,16
2018-12-16,Tennessee,NY Giants,20
2018-12-16,Baltimore,Tampa Bay,24
2018-12-16,Chicago,Green Bay,14
2018-12-16,Minnesota,Miami,27
2018-12-16,Atlanta,Arizona,32
2018-12-16,Buffalo,Detroit,25
2018-12-16,Cincinnati,Las Vegas,30
2018-12-16,Washington,Jacksonville,21
2018-12-16,Indianapolis,Dallas,12
2018-12-16,San Francisco,Seattle,8
2018-12-16,Pittsburgh,New England,4
2018-12-16,Philadelphia,LA Rams,2
2018-12-23,New Orleans,Carolina,17
2018-12-23,Tennessee,Washington,22
2018-12-23,Baltimore,LA Chargers,7
2018-12-23,Atlanta,Carolina,17
2018-12-23,New England,Buffalo,31
2018-12-23,Minnesota,Detroit,25
2018-12-23,Green Bay,NY Jets,28
2018-12-23,Cleveland,Cincinnati,26
2018-12-23,Jacksonville,Miami,27
2018-12-23,Indianapolis,NY Giants,23
2018-12-23,Dallas,Tampa Bay,24
2018-12-23,Philadelphia,Houston,11
2018-12-23,LA Rams,Arizona,32
2018-12-23,Chicago,San Francisco,29
2018-12-23,New Orleans,Pittsburgh,5
2018-12-23,Seattle,Kansas City,3
2018-12-30,Las Vegas,Denver,19
2018-12-30,Dallas,NY Giants,23
2018-12-30,Houston,Jacksonville,20
2018-12-30,Atlanta,Tampa Bay,24
2018-12-30,New England,NY Jets,29
2018-12-30,Buffalo,Miami,28
2018-12-30,Carolina,New Orleans,1
2018-12-30,Detroit,Green Bay,15
2018-12-30,Chicago,Minnesota,10
2018-12-30,Kansas City,Las Vegas,30
2018-12-30,Seattle,Arizona,32
2018-12-30,Philadelphia,Washington,22
2018-12-30,LA Chargers,Denver,19
2018-12-30,LA Rams,San Francisco,27
2018-12-30,Pittsburgh,Cincinnati,25
2018-12-30,Baltimore,Cleveland,21
2018-12-30,Indianapolis,Tennessee,17
2019-01-06,Indianapolis,Houston,12
2019-01-06,Dallas,Seattle,9
2019-01-06,LA Chargers,Baltimore,7
2019-01-06,Philadelphia,Chicago,8
2019-01-13,Kansas City,Indianapolis,13
2019-01-13,LA Rams,Dallas,15
2019-01-13,New England,LA Chargers,6
2019-01-13,New Orleans,Philadelphia,10
2019-01-20,LA Rams,New Orleans,1
2019-01-20,New England,Kansas City,3
2019-02-03,New England,LA Rams,2
2017-09-10,Kansas City,New England,1
2017-09-10,Atlanta,Chicago,29
2017-09-10,Buffalo,NY Jets,32
2017-09-10,Las Vegas,Tennessee,16
2017-09-10,Philadelphia,Washington,24
2017-09-10,Baltimore,Cincinnati,10
2017-09-10,Pittsburgh,Cleveland,30
2017-09-10,Detroit,Arizona,9
2017-09-10,Jacksonville,Houston,17
2017-09-10,LA Rams,Indianapolis,23
2017-09-10,Carolina,San Francisco,31
2017-09-10,Green Bay,Seattle,3
2017-09-10,Dallas,NY Giants,14
2017-09-17,Minnesota,New Orleans,24
2017-09-17,Denver,LA Chargers,23
2017-09-17,Houston,Cincinnati,22
2017-09-17,Tampa Bay,Chicago,29
2017-09-17,Tennessee,Jacksonville,17
2017-09-17,Kansas City,Philadelphia,12
2017-09-17,Arizona,Indianapolis,28
2017-09-17,Pittsburgh,Minnesota,11
2017-09-17,New England,New Orleans,24
2017-09-17,Carolina,Buffalo,27
2017-09-17,Baltimore,Cleveland,30
2017-09-17,Miami,LA Chargers,23
2017-09-17,Las Vegas,NY Jets,32
2017-09-17,Denver,Dallas,6
2017-09-17,Washington,LA Rams,20
2017-09-17,Seattle,San Francisco,31
2017-09-17,Atlanta,Green Bay,3
2017-09-24,Detroit,NY Giants,19
2017-09-24,LA Rams,San Francisco,31
2017-09-24,Jacksonville,Baltimore,7
2017-09-24,NY Jets,Miami,23
2017-09-24,Atlanta,Detroit,13
2017-09-24,Buffalo,Denver,9
2017-09-24,New England,Houston,20
2017-09-24,Indianapolis,Cleveland,29
2017-09-24,Minnesota,Tampa Bay,15
2017-09-24,Philadelphia,NY Giants,19
2017-09-24,New Orleans,Carolina,10
2017-09-24,Chicago,Pittsburgh,2
2017-09-24,Tennessee,Seattle,6
2017-09-24,Green Bay,Cincinnati,18
2017-09-24,Kansas City,LA Chargers,21
2017-09-24,Washington,Las Vegas,4
2017-10-01,Dallas,Arizona,18
2017-10-01,Green Bay,Chicago,29
2017-10-01,New Orleans,Miami,27
2017-10-01,Carolina,New England,1
2017-10-01,Detroit,Minnesota,11
2017-10-01,NY Jets,Jacksonville,12
2017-10-01,Buffalo,Atlanta,5
2017-10-01,LA Rams,Dallas,8
2017-10-01,Pittsburgh,Baltimore,16
2017-10-01,Houston,Tennessee,9
2017-10-01,Cincinnati,Cleveland,30
2017-10-01,Arizona,San Francisco,31
2017-10-01,Tampa Bay,NY Giants,23
2017-10-01,Philadelphia,LA Chargers,26
2017-10-01,Denver,Las Vegas,7
2017-10-01,Seattle,Indianapolis,28
2017-10-08,Kansas City,Washington,20
2017-10-08,New England,Tampa Bay,18
2017-10-08,Miami,Tennessee,19
2017-10-08,Indianapolis,San Francisco,30
2017-10-08,Philadelphia,Arizona,21
2017-10-08,Cincinnati,Buffalo,23
2017-10-08,LA Chargers,NY Giants,24
2017-10-08,Carolina,Detroit,10
2017-10-08,Jacksonville,Pittsburgh,2
2017-10-08,NY Jets,Cleveland,32
2017-10-08,Baltimore,Las Vegas,7
2017-10-08,Seattle,LA Rams,25
2017-10-08,Green Bay,Dallas,11
2017-10-08,Kansas City,Houston,8
2017-10-15,Minnesota,Chicago,28
2017-10-15,Philadelphia,Carolina,11
2017-10-15,Miami,Atlanta,7
2017-10-15,New England,NY Jets,31
2017-10-15,Chicago,Baltimore,18
2017-10-15,Washington,San Francisco,30
2017-10-15,Houston,Cleveland,32
2017-10-15,New Orleans,Detroit,14
2017-10-15,Minnesota,Green Bay,3
2017-10-15,Arizona,Tampa Bay,19
2017-10-15,LA Rams,Jacksonville,8
2017-10-15,LA Chargers,Las Vegas,13
2017-10-15,Pittsburgh,Kansas City,2
2017-10-15,NY Giants,Denver,9
2017-10-22,Tennessee,Indianapolis,31
2017-10-22,Las Vegas,Kansas City,2
2017-10-22,Buffalo,Tampa Bay,20
2017-10-22,Miami,NY Jets,30
2017-10-22,Minnesota,Baltimore,21
2017-10-22,New Orleans,Green Bay,5
2017-10-22,Jacksonville,Indianapolis,31
2017-10-22,LA Rams,Arizona,26
2017-10-22,Chicago,Carolina,12
2017-10-22,Tennessee,Cleveland,32
2017-10-22,Dallas,San Francisco,29
2017-10-22,LA Chargers,Denver,15
2017-10-22,Pittsburgh,Cincinnati,17
2017-10-22,Seattle,NY Giants,19
2017-10-22,New England,Atlanta,9
2017-10-29,Philadelphia,Washington,23
2017-10-29,Baltimore,Miami,28
2017-10-29,Minnesota,Cleveland,32
2017-10-29,Atlanta,NY Jets,29
2017-10-29,Buffalo,Las Vegas,15
2017-10-29,Cincinnati,Indianapolis,31
2017-10-29,Carolina,Tampa Bay,20
2017-10-29,New England,LA Chargers,21
2017-10-29,Philadelphia,San Francisco,30
2017-10-29,New Orleans,Chicago,27
2017-10-29,Seattle,Houston,11
2017-10-29,Dallas,Washington,23
2017-10-29,Pittsburgh,Detroit,16
2017-11-05,Kansas City,Denver,18
2017-11-05,NY Jets,Buffalo,22
2017-11-05,New Orleans,Tampa Bay,24
2017-11-05,Philadelphia,Denver,18
2017-11-05,Tennessee,Baltimore,14
2017-11-05,Jacksonville,Cincinnati,19
2017-11-05,Carolina,Atlanta,15
2017-11-05,LA Rams,NY Giants,23
2017-11-05,Indianapolis,Houston,10
2017-11-05,Arizona,San Francisco,31
2017-11-05,Washington,Seattle,4
2017-11-05,Dallas,Kansas City,2
2017-11-05,Las Vegas,Miami,28
2017-11-12,Detroit,Green Bay,11
2017-11-12,Seattle,Arizona,26
2017-11-12,Green Bay,Chicago,27
2017-11-12,Minnesota,Washington,20
2017-11-12,New Orleans,Buffalo,22
2017-11-12,Tennessee,Cincinnati,21
2017-11-12,Jacksonville,LA Chargers,19
2017-11-12,Detroit,Cleveland,32
2017-11-12,Tampa Bay,NY Jets,29
2017-11-12,Pittsburgh,Indianapolis,30
2017-11-12,LA Rams,Houston,14
2017-11-12,Atlanta,Dallas,6
2017-11-12,San Francisco,NY Giants,25
2017-11-12,New England,Denver,23
2017-11-19,Carolina,Miami,28
2017-11-19,Pittsburgh,Tennessee,21
2017-11-19,Minnesota,LA Rams,6
2017-11-19,Houston,Arizona,25
2017-11-19,Jacksonville,Cleveland,32
2017-11-19,Tampa Bay,Miami,28
2017-11-19,New Orleans,Washington,20
2017-11-19,Baltimore,Green Bay,11
2017-11-19,Detroit,Chicago,27
2017-11-19,NY Giants,Kansas City,4
2017-11-19,LA Chargers,Buffalo,24
2017-11-19,New England,Las Vegas,17
2017-11-19,Cincinnati,Denver,23
2017-11-19,Philadelphia,Dallas,10
2017-11-26,Atlanta,Seattle,7
2017-11-26,Minnesota,Detroit,14
2017-11-26,LA Chargers,Dallas,17
2017-11-26,Washington,NY Giants,25
2017-11-26,Atlanta,Tampa Bay,22
2017-11-26,Carolina,NY Jets,28
2017-11-26,Philadelphia,Chicago,26
2017-11-26,Buffalo,Kansas City,5
2017-11-26,Cincinnati,Cleveland,32
2017-11-26,Tennessee,Indianapolis,30
2017-11-26,New England,Miami,29
2017-11-26,Seattle,San Francisco,31
2017-11-26,LA Rams,New Orleans,4
2017-11-26,Las Vegas,Denver,23
2017-11-26,Arizona,Jacksonville,8
2017-11-26,Pittsburgh,Green Bay,15
2017-12-03,Baltimore,Houston,17
2017-12-03,Dallas,Washington,21
2017-12-03,New England,Buffalo,25
2017-12-03,Tennessee,Houston,17
2017-12-03,NY Jets,Kansas City,8
2017-12-03,Jacksonville,Indianapolis,30
2017-12-03,Minnesota,Atlanta,10
2017-12-03,Miami,Denver,23
2017-12-03,Baltimore,Detroit,15
2017-12-03,Green Bay,Tampa Bay,22
2017-12-03,San Francisco,Chicago,27
2017-12-03,LA Chargers,Cleveland,32
2017-12-03,LA Rams,Arizona,24
2017-12-03,Las Vegas,NY Giants,26
2017-12-03,New Orleans,Carolina,12
2017-12-03,Seattle,Philadelphia,2
2017-12-10,Pittsburgh,Cincinnati,19
2017-12-10,Atlanta,New Orleans,5
2017-12-10,Carolina,Minnesota,6
2017-12-10,Detroit,Tampa Bay,22
2017-12-10,Chicago,Cincinnati,19
2017-12-10,Green Bay,Cleveland,32
2017-12-10,Dallas,NY Giants,24
2017-12-10,Buffalo,Indianapolis,30
2017-12-10,San Francisco,Houston,17
2017-12-10,Kansas City,Las Vegas,20
2017-12-10,Denver,NY Jets,29
2017-12-10,LA Chargers,Washington,21
2017-12-10,Arizona,Tennessee,18
2017-12-10,Jacksonville,Seattle,4
2017-12-10,Philadelphia,LA Rams,7
2017-12-10,Pittsburgh,Baltimore,9
2017-12-17,Miami,New England,1
2017-12-17,Denver,Indianapolis,31
2017-12-17,Detroit,Chicago,25
2017-12-17,Kansas City,LA Chargers,14
2017-12-17,Washington,Arizona,24
2017-12-17,Buffalo,Miami,27
2017-12-17,Jacksonville,Houston,18
2017-12-17,New Orleans,NY Jets,29
2017-12-17,Philadelphia,NY Giants,28
2017-12-17,Carolina,Green Bay,15
2017-12-17,Minnesota,Cincinnati,22
2017-12-17,Baltimore,Cleveland,32
2017-12-17,LA Rams,Seattle,5
2017-12-17,San Francisco,Tennessee,19
2017-12-17,New England,Pittsburgh,3
2017-12-17,Dallas,Las Vegas,17
2017-12-24,Atlanta,Tampa Bay,20
2017-12-24,Baltimore,Indianapolis,31
2017-12-24,Minnesota,Green Bay,16
2017-12-24,New Orleans,Atlanta,12
2017-12-24,Carolina,Tampa Bay,20
2017-12-24,Chicago,Cleveland,32
2017-12-24,Cincinnati,Detroit,15
2017-12-24,New England,Buffalo,25
2017-12-24,LA Chargers,NY Jets,29
2017-12-24,LA Rams,Tennessee,18
2017-12-24,Washington,Denver,22
2017-12-24,Kansas City,Miami,28
2017-12-24,San Francisco,Jacksonville,6
2017-12-24,Arizona,NY Giants,27
2017-12-24,Seattle,Dallas,13
2017-12-31,Pittsburgh,Houston,23
2017-12-31,Philadelphia,Las Vegas,17
2017-12-31,New England,NY Jets,30
2017-12-31,Dallas,Philadelphia,2
2017-12-31,NY Giants,Washington,18
2017-12-31,Pittsburgh,Cleveland,32
2017-12-31,Detroit,Green Bay,15
2017-12-31,Minnesota,Chicago,24
2017-12-31,Indianapolis,Houston,23
2017-12-31,Tampa Bay,New Orleans,6
2017-12-31,Arizona,Seattle,10
2017-12-31,Buffalo,Miami,27
2017-12-31,Kansas City,Denver,25
2017-12-31,LA Chargers,Las Vegas,17
2017-12-31,Tennessee,Jacksonville,7
2017-12-31,Atlanta,Carolina,11
2017-12-31,San Francisco,LA Rams,5
2017-12-31,Cincinnati,Baltimore,9
2018-01-07,Tennessee,Kansas City,9
2018-01-07,Atlanta,LA Rams,7
2018-01-07,Jacksonville,Buffalo,25
2018-01-07,New Orleans,Carolina,12
2018-01-14,Philadelphia,Atlanta,8
2018-01-14,New England,Tennessee,17
2018-01-14,Jacksonville,Pittsburgh,3
2018-01-14,Minnesota,New Orleans,5
2018-01-21,New England,Jacksonville,6
2018-01-21,Philadelphia,Minnesota,3
2018-02-04,Philadelphia,New England,1
2016-09-11,Denver,Carolina,6
2016-09-11,Green Bay,Jacksonville,24
2016-09-11,Baltimore,Buffalo,11
2016-09-11,Tampa Bay,Atlanta,22
2016-09-11,Minnesota,Tennessee,31
2016-09-11,Las Vegas,New Orleans,23
2016-09-11,Philadelphia,Cleveland,32
2016-09-11,Kansas City,LA Chargers,17
2016-09-11,Houston,Chicago,26
2016-09-11,Cincinnati,NY Jets,16
2016-09-11,Seattle,Miami,19
2016-09-11,NY Giants,Dallas,25
2016-09-11,Detroit,Indianapolis,14
2016-09-11,New England,Arizona,2
2016-09-18,Pittsburgh,Washington,30
2016-09-18,San Francisco,LA Rams,29
2016-09-18,NY Jets,Buffalo,15
2016-09-18,Pittsburgh,Cincinnati,7
2016-09-18,Houston,Kansas City,6
2016-09-18,Tennessee,Detroit,19
2016-09-18,Baltimore,Cleveland,32
2016-09-18,New England,Miami,17
2016-09-18,Dallas,Washington,30
2016-09-18,Carolina,San Francisco,21
2016-09-18,NY Giants,New Orleans,24
2016-09-18,Arizona,Tampa Bay,22
2016-09-18,LA Rams,Seattle,3
2016-09-18,Denver,Indianapolis,18
2016-09-18,Atlanta,Las Vegas,12
2016-09-18,LA Chargers,Jacksonville,23
2016-09-18,Minnesota,Green Bay,5
2016-09-25,Philadelphia,Chicago,29
2016-09-25,New England,Houston,15
2016-09-25,Washington,NY Giants,19
2016-09-25,Las Vegas,Tennessee,31
2016-09-25,Green Bay,Detroit,21
2016-09-25,Baltimore,Jacksonville,28
2016-09-25,Miami,Cleveland,32
2016-09-25,Buffalo,Arizona,2
2016-09-25,Minnesota,Carolina,5
2016-09-25,Denver,Cincinnati,8
2016-09-25,LA Rams,Tampa Bay,27
2016-09-25,Seattle,San Francisco,26
2016-09-25,Philadelphia,Pittsburgh,3
2016-09-25,Indianapolis,LA Chargers,11
2016-09-25,Kansas City,NY Jets,12
2016-09-25,Dallas,Chicago,29
2016-10-02,Atlanta,New Orleans,26
2016-10-02,Cincinnati,Miami,19
2016-10-02,Jacksonville,Indianapolis,20
2016-10-02,Chicago,Detroit,22
2016-10-02,Buffalo,New England,1
2016-10-02,Las Vegas,Baltimore,14
2016-10-02,Houston,Tennessee,31
2016-10-02,Seattle,NY Jets,17
2016-10-02,Atlanta,Carolina,7
2016-10-02,Washington,Cleveland,32
2016-10-02,Denver,Tampa Bay,28
2016-10-02,LA Rams,Arizona,2
2016-10-02,New Orleans,LA Chargers,13
2016-10-02,Dallas,San Francisco,25
2016-10-02,Pittsburgh,Kansas City,4
2016-10-09,Minnesota,NY Giants,24
2016-10-09,Arizona,San Francisco,27
2016-10-09,Pittsburgh,NY Jets,20
2016-10-09,New England,Cleveland,32
2016-10-09,Tennessee,Miami,21
2016-10-09,Detroit,Philadelphia,12
2016-10-09,Indianapolis,Chicago,29
2016-10-09,Washington,Baltimore,16
2016-10-09,Minnesota,Houston,17
2016-10-09,Atlanta,Denver,4
2016-10-09,Buffalo,LA Rams,18
2016-10-09,Las Vegas,LA Chargers,15
2016-10-09,Dallas,Cincinnati,8
2016-10-09,Green Bay,NY Giants,24
2016-10-16,Tampa Bay,Carolina,11
2016-10-16,LA Chargers,Denver,7
2016-10-16,Buffalo,San Francisco,28
2016-10-16,Detroit,LA Rams,19
2016-10-16,Jacksonville,Chicago,31
2016-10-16,New England,Cincinnati,10
2016-10-16,NY Giants,Baltimore,17
2016-10-16,Tennessee,Cleveland,32
2016-10-16,Miami,Pittsburgh,3
2016-10-16,Washington,Philadelphia,12
2016-10-16,New Orleans,Carolina,11
2016-10-16,Kansas City,Las Vegas,15
2016-10-16,Dallas,Green Bay,5
2016-10-16,Seattle,Atlanta,13
2016-10-16,Houston,Indianapolis,20
2016-10-23,Arizona,NY Jets,25
2016-10-23,Green Bay,Chicago,30
2016-10-23,NY Giants,LA Rams,19
2016-10-23,Philadelphia,Minnesota,6
2016-10-23,Las Vegas,Jacksonville,27
2016-10-23,Indianapolis,Tennessee,29
2016-10-23,Miami,Buffalo,4
2016-10-23,Detroit,Washington,26
2016-10-23,Cincinnati,Cleveland,32
2016-10-23,Kansas City,New Orleans,24
2016-10-23,NY Jets,Baltimore,17
2016-10-23,LA Chargers,Atlanta,10
2016-10-23,Tampa Bay,San Francisco,31
2016-10-23,New England,Pittsburgh,5
2016-10-23,Seattle,Arizona,2
2016-10-30,Denver,Houston,21
2016-10-30,Tennessee,Jacksonville,29
