year,month,day,team,total_points_per_game
2021,1,3,Miami,20.0
2021,1,3,Baltimore,14.0
2021,1,3,LA Chargers,17.0
2021,1,3,Houston,41.0
2021,1,3,Cleveland,27.0
2021,1,3,LA Rams,20.0
2021,1,3,San Francisco,23.0
2021,1,3,Carolina,27.0
2021,1,3,Detroit,25.0
2021,1,3,Dallas,16.0
2021,1,3,Washington,41.0
2021,1,3,Philadelphia,17.0
2021,1,3,Cincinnati,17.0
2021,1,3,New England,20.0
2021,1,3,Jacksonville,25.0
2021,1,3,Chicago,25.0
2021,1,3,NY Giants,19.0
2021,1,3,Denver,3.0
2021,1,3,NY Jets,3.0
2020,12,27,Tennessee,46.0
2020,12,27,Kansas City,32.0
2020,12,27,Green Bay,24.0
2020,12,27,New Orleans,52.0
2020,12,27,Tampa Bay,47.0
2020,12,27,Seattle,20.0
2020,12,27,Buffalo,48.0
2020,12,27,Baltimore,40.0
2020,12,27,Indianapolis,27.0
2020,12,27,Arizona,12.0
2020,12,27,Las Vegas,25.0
2020,12,27,Cleveland,20.0
2020,12,27,Minnesota,33.0
2020,12,27,Pittsburgh,17.0
2020,12,27,Atlanta,27.0
2020,12,27,Miami,26.0
2020,12,27,LA Rams,20.0
2020,12,27,Dallas,41.0
2020,12,27,San Francisco,20.0
2020,12,27,LA Chargers,30.0
2020,12,27,Carolina,16.0
2020,12,27,Detroit,7.0
2020,12,27,Chicago,33.0
2020,12,27,Houston,20.0
2020,12,27,Philadelphia,26.0
2020,12,27,Washington,15.0
2020,12,27,New England,12.0
2020,12,27,Denver,19.0
2020,12,27,Jacksonville,14.0
2020,12,27,Cincinnati,27.0
2020,12,27,NY Giants,6.0
2020,12,27,NY Jets,23.0
2020,12,20,Kansas City,33.0
2020,12,20,Green Bay,24.0
2020,12,20,Seattle,40.0
2020,12,20,Tennessee,31.0
2020,12,20,Buffalo,48.0
2020,12,20,Indianapolis,44.0
2020,12,20,Tampa Bay,26.0
2020,12,20,New Orleans,21.0
2020,12,20,Baltimore,47.0
2020,12,20,Arizona,26.0
2020,12,20,Las Vegas,27.0
2020,12,20,Pittsburgh,15.0
2020,12,20,Cleveland,42.0
2020,12,20,Minnesota,14.0
2020,12,20,Miami,27.0
2020,12,20,Atlanta,17.0
2020,12,20,LA Rams,24.0
