year,month,day,team,red_zone_TD_percentage
2015,9,6,Seattle,66.67%
2015,9,6,Miami,50.00%
2015,9,6,LA Rams,0.00%
2015,9,6,Philadelphia,50.00%
2015,9,6,Cleveland,50.00%
2015,9,6,Tennessee,50.00%
2015,9,6,Carolina,50.00%
2015,9,6,Washington,25.00%
2015,9,6,Arizona,66.67%
2015,9,6,San Francisco,50.00%
2015,9,6,Buffalo,100.00%
2015,9,6,Jacksonville,0.00%
2015,9,6,NY Jets,20.00%
2015,2,22,Las Vegas,100.00%
2015,2,22,Dallas,100.00%
2015,2,22,Chicago,0.00%
2015,2,22,Denver,100.00%
2015,2,22,New England,85.71%
2015,2,22,Atlanta,0.00%
2015,2,22,New Orleans,66.67%
2015,2,22,NY Giants,33.33%
2015,2,22,Kansas City,25.00%
2015,2,22,Cincinnati,100.00%
2015,2,22,Green Bay,33.33%
2015,2,22,Indianapolis,100.00%
2015,2,22,Baltimore,80.00%
2015,2,22,LA Chargers,33.33%
2015,2,22,Houston,100.00%
2015,2,22,Minnesota,0.00%
2015,2,22,Tampa Bay,66.67%
2015,2,22,Detroit,50.00%
2015,2,22,Pittsburgh,33.33%
2015,2,22,Seattle,66.67%
2015,2,22,Miami,50.00%
2015,2,22,LA Rams,0.00%
2015,2,22,Philadelphia,50.00%
2015,2,22,Cleveland,50.00%
2015,2,22,Tennessee,50.00%
2015,2,22,Carolina,50.00%
2015,2,22,Washington,25.00%
2015,2,22,Arizona,66.67%
2015,2,22,San Francisco,50.00%
2015,2,22,Buffalo,100.00%
2015,2,22,Jacksonville,0.00%
2015,2,22,NY Jets,20.00%
2015,2,15,Las Vegas,100.00%
2015,2,15,Dallas,100.00%
2015,2,15,Chicago,0.00%
2015,2,15,Denver,100.00%
2015,2,15,New England,85.71%
2015,2,15,Atlanta,0.00%
2015,2,15,New Orleans,66.67%
2015,2,15,NY Giants,33.33%
2015,2,15,Kansas City,25.00%
2015,2,15,Cincinnati,100.00%
2015,2,15,Green Bay,33.33%
2015,2,15,Indianapolis,100.00%
2015,2,15,Baltimore,80.00%
2015,2,15,LA Chargers,33.33%
2015,2,15,Houston,100.00%
2015,2,15,Minnesota,0.00%
2015,2,15,Tampa Bay,66.67%
2015,2,15,Detroit,50.00%
2015,2,15,Pittsburgh,33.33%
2015,2,15,Seattle,66.67%
2015,2,15,Miami,50.00%
2015,2,15,LA Rams,0.00%
2015,2,15,Philadelphia,50.00%
2015,2,15,Cleveland,50.00%
2015,2,15,Tennessee,50.00%
2015,2,15,Carolina,50.00%
2015,2,15,Washington,25.00%
2015,2,15,Arizona,66.67%
2015,2,15,San Francisco,50.00%
2015,2,15,Buffalo,100.00%
2015,2,15,Jacksonville,0.00%
2015,2,15,NY Jets,20.00%
2015,2,8,Las Vegas,100.00%
2015,2,8,Dallas,100.00%
2015,2,8,Chicago,0.00%
2015,2,8,Denver,100.00%
2015,2,8,New England,85.71%
2015,2,8,Atlanta,0.00%
2015,2,8,New Orleans,66.67%
2015,2,8,NY Giants,33.33%
2015,2,8,Kansas City,25.00%
2015,2,8,Cincinnati,100.00%
2015,2,8,Green Bay,33.33%
2015,2,8,Indianapolis,100.00%
2015,2,8,Baltimore,80.00%
2015,2,8,LA Chargers,33.33%
2015,2,8,Houston,100.00%
2015,2,8,Minnesota,0.00%
2015,2,8,Tampa Bay,66.67%
2015,2,8,Detroit,50.00%
2015,2,8,Pittsburgh,33.33%
2015,2,8,Seattle,66.67%
2015,2,8,Miami,50.00%
2015,2,8,LA Rams,0.00%
2015,2,8,Philadelphia,50.00%
2015,2,8,Cleveland,50.00%
2015,2,8,Tennessee,50.00%
2015,2,8,Carolina,50.00%
2015,2,8,Washington,25.00%
2015,2,8,Arizona,66.67%
2015,2,8,San Francisco,50.00%
2015,2,8,Buffalo,100.00%
2015,2,8,Jacksonville,0.00%
2015,2,8,NY Jets,20.00%
2015,2,1,Las Vegas,100.00%
2015,2,1,Dallas,100.00%
2015,2,1,Chicago,0.00%
2015,2,1,Denver,100.00%
2015,2,1,New England,85.71%
2015,2,1,Atlanta,0.00%
2015,2,1,New Orleans,66.67%
2015,2,1,NY Giants,33.33%
2015,2,1,Kansas City,25.00%
2015,2,1,Cincinnati,100.00%
2015,2,1,Green Bay,33.33%
2015,2,1,Indianapolis,100.00%
2015,2,1,Baltimore,80.00%
2015,2,1,LA Chargers,33.33%
2015,2,1,Houston,100.00%
